End_Week,State,Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths
2/1/2020,Alabama,0,56,0
2/8/2020,Alabama,0,61,0
2/15/2020,Alabama,0,76,0
2/22/2020,Alabama,0,68,0
2/29/2020,Alabama,0,63,0
3/7/2020,Alabama,0,58,0
3/14/2020,Alabama,0,61,0
3/21/2020,Alabama,,71,
3/28/2020,Alabama,23,68,
4/4/2020,Alabama,49,65,11
4/11/2020,Alabama,81,86,27
4/18/2020,Alabama,89,94,26
4/25/2020,Alabama,83,77,19
5/2/2020,Alabama,81,87,26
5/9/2020,Alabama,115,94,34
5/16/2020,Alabama,93,88,29
5/23/2020,Alabama,79,82,23
5/30/2020,Alabama,103,95,30
6/6/2020,Alabama,88,87,32
6/13/2020,Alabama,81,74,29
6/20/2020,Alabama,88,78,25
6/27/2020,Alabama,101,82,30
7/4/2020,Alabama,120,92,47
7/11/2020,Alabama,133,94,36
7/18/2020,Alabama,186,100,45
7/25/2020,Alabama,245,133,87
8/1/2020,Alabama,260,156,94
8/8/2020,Alabama,253,131,85
8/15/2020,Alabama,218,135,80
8/22/2020,Alabama,197,111,59
8/29/2020,Alabama,169,120,67
9/5/2020,Alabama,128,97,50
9/12/2020,Alabama,106,88,39
9/19/2020,Alabama,83,59,30
9/26/2020,Alabama,17,11,
2/1/2020,Alaska,0,0,0
2/8/2020,Alaska,0,,0
2/15/2020,Alaska,0,0,0
2/22/2020,Alaska,0,,0
2/29/2020,Alaska,0,,0
3/7/2020,Alaska,0,,0
3/14/2020,Alaska,0,,0
3/21/2020,Alaska,0,,0
3/28/2020,Alaska,,10,
4/4/2020,Alaska,,,
4/11/2020,Alaska,,,
4/18/2020,Alaska,,,0
4/25/2020,Alaska,0,,0
5/2/2020,Alaska,0,,0
5/9/2020,Alaska,,,0
5/16/2020,Alaska,0,,0
5/23/2020,Alaska,0,,0
5/30/2020,Alaska,0,,0
6/6/2020,Alaska,0,,0
6/13/2020,Alaska,,,
6/20/2020,Alaska,0,,0
6/27/2020,Alaska,0,,0
7/4/2020,Alaska,,,0
7/11/2020,Alaska,,,
7/18/2020,Alaska,,,
7/25/2020,Alaska,,,
